TEAM_AWAY,TEAM_HOME,TOTAL_POINTS,VEGAS_LINE,OVER,PREDICTED
wizards,bulls,212,226.5,0,
trail blazers,rockets,202,224.5,0,
suns,spurs,206,234.5,0,
grizzlies,nuggets,231,214.5,1,
mavericks,jazz,220,238.5,0,
76ers,kings,204,220,0,
pacers,clippers,249,235,1,
warriors,heat,205,217,0,
lakers,bucks,252,234.5,1,
thunder,pelicans,231,223,1,
mavericks,kings,228,233,0,
cavaliers,hornets,229,207,1,
warriors,magic,194,218,0,
nets,wizards,241,221,1,
trail blazers,hawks,226,220,1,
clippers,76ers,215,214.5,1,
knicks,raptors,246,211.5,1,
pacers,bulls,224,234.5,0,
lakers,grizzlies,260,225.5,1,
pistons,timberwolves,197,215.5,0,
rockets,thunder,258,226,1,
suns,clippers,232,220.5,1,
bulls,pistons,232,220,1,
knicks,celtics,227,221,1,
rockets,jazz,245,227,1,
warriors,trail blazers,192,221,0,
pelicans,kings,258,217.5,1,
magic,76ers,238,214.5,1,
bulls,wizards,256,224,1,
hornets,celtics,229,217.5,1,
pacers,cavaliers,249,231.5,1,
nets,knicks,218,211.5,1,
lakers,grizzlies,243,226,1,
raptors,heat,228,220,1,
hawks,timberwolves,215,227,0,
bucks,thunder,232,223.5,1,
nuggets,spurs,241,223,1,
pistons,mavericks,196,217,0,
pelicans,warriors,223,225.5,0,
rockets,trail blazers,223,217.5,1,
jazz,clippers,219,225,0,
suns,kings,215,226.5,0,
pistons,grizzlies,198,213,0,
raptors,bucks,228,233,0,
spurs,pelicans,220,218.5,1,
warriors,mavericks,214,224,0,
timberwolves,suns,184,216.5,0,
jazz,clippers,233,224,1,
cavaliers,lakers,213,230,0,
pistons,nets,216,216,0,
76ers,grizzlies,212,214,0,
hawks,nuggets,252,224,1,
rockets,mavericks,283,227,1,
cavaliers,clippers,238,217,1,
heat,pacers,232,228,1,
trail blazers,celtics,231,216.5,1,
thunder,hornets,239,218,1,
bulls,magic,211,211.5,0,
pelicans,suns,218,222,0,
wizards,raptors,252,235,1,
knicks,bucks,231,220.5,1,
76ers,spurs,259,225.5,1,
kings,nets,184,217.5,0,
clippers,kings,204,222,0,
trail blazers,hornets,185,212,0,
lakers,wizards,245,237.5,1,
pistons,hawks,234,223,1,
pacers,nets,226,233.5,0,
thunder,celtics,235,229,1,
grizzlies,bucks,212,217.5,0,
raptors,timberwolves,218,213.5,1,
magic,pelicans,225,208,1,
cavaliers,suns,223,226.5,0,
hawks,mavericks,204,227.5,0,
76ers,heat,214,211.5,1,
kings,knicks,229,212,1,
warriors,rockets,243,228,1,
nuggets,clippers,202,220.5,0,
magic,hornets,239,207,1,
thunder,pacers,238,234.5,1,
trail blazers,wizards,210,225,0,
kings,celtics,201,226,0,
knicks,bulls,208,211.5,0,
heat,rockets,223,217.5,1,
spurs,jazz,229,228,1,
suns,nuggets,201,229.5,0,
celtics,hawks,245,228.5,1,
bucks,pelicans,207,226,0,
warriors,hornets,212,219,0,
lakers,pacers,199,244.5,0,
clippers,magic,197,212,0,
pistons,wizards,183,229.5,0,
bulls,nets,233,215,1,
76ers,cavaliers,231,212,1,
trail blazers,heat,224,208.5,1,
suns,thunder,231,228,1,
knicks,spurs,256,214,1,
timberwolves,nuggets,209,210,0,
rockets,jazz,201,230,0,
mavericks,kings,210,232.5,0,
celtics,pelicans,196,223.5,0,
grizzlies,magic,206,209,0,
bucks,hawks,235,222.5,1,
cavaliers,nuggets,231,218,1,
lakers,nets,220,224.5,0,
clippers,hornets,248,216.5,1,
76ers,raptors,255,214,1,
heat,wizards,226,214,1,
mavericks,rockets,232,229,1,
bulls,timberwolves,210,212,0,
thunder,knicks,225,218.5,1,
warriors,spurs,230,228,1,
jazz,kings,233,220.5,1,
celtics,hornets,222,219.5,1,
grizzlies,pistons,218,216,1,
nets,pacers,244,227.5,1,
trail blazers,magic,207,210.5,0,
hawks,bulls,214,221,0,
suns,pelicans,235,222,1,
lakers,raptors,239,236.5,1,
bucks,wizards,230,226,1,
knicks,heat,208,205.5,1,
thunder,76ers,214,219.5,0,
rockets,timberwolves,219,214.5,1,
spurs,nuggets,215,223.5,0,
cavaliers,jazz,242,218,1,
pacers,warriors,234,242,0,
clippers,trail blazers,242,216,1,
76ers,lakers,195,227.5,0,
nets,knicks,198,204.5,0,
kings,magic,216,219,0,
hornets,hawks,223,212,1,
celtics,bulls,237,219.5,1,
jazz,rockets,266,228,1,
suns,spurs,237,231.5,1,
raptors,wizards,221,232.5,0,
nuggets,trail blazers,225,210,1,
pelicans,pistons,215,218.5,0,
76ers,clippers,228,215.5,1,
cavaliers,heat,225,202.5,1,
thunder,bucks,211,233.5,0,
warriors,timberwolves,224,219.5,1,
pacers,lakers,295,240,1,
hornets,cavaliers,207,206,1,
celtics,hawks,238,225,1,
pistons,knicks,223,211.5,1,
nets,raptors,184,217.5,0,
timberwolves,lakers,244,218,1,
mavericks,hornets,234,224,1,
pistons,76ers,222,220.5,1,
pacers,raptors,263,240.5,1,
heat,hawks,228,217.5,1,
celtics,bucks,195,230.5,0,
knicks,bulls,245,212.5,1,
magic,rockets,224,216,1,
spurs,grizzlies,189,217,0,
wizards,timberwolves,251,223,1,
kings,thunder,217,227.5,0,
nuggets,jazz,206,223.5,0,
warriors,lakers,254,235.5,1,
clippers,suns,197,226.5,0,
pelicans,trail blazers,210,213.5,0,
grizzlies,cavaliers,208,213,0,
hornets,hawks,229,227.5,1,
raptors,nets,208,220.5,0,
mavericks,heat,203,218.5,0,
magic,bucks,216,212.5,1,
spurs,thunder,216,231,0,